本词	国际音标	方言拼音	汉语拼音	词汇属性	对应官话词	官话拼音	词频	同义词	新旧标记
㔶		kong	gong4	赣			30000		
㦿		kang	qian3	赣			60000		
㲃		jiu	jiu4	赣			30000		
䁐		yang	ying1	赣			30000		
䞀		heu	hou4	赣			30000		
一		yi	yi1	赣			217830		
丁		diang	ding1	赣			120000		
七		qi	qi1	赣			120000		
万		wan	wan4	赣			120000		
丈		dong	zhang4	赣			120000		
丈		jiong	zhang4	赣			120000		
三		san	san1	赣			120000		
上		song	shang4	赣			258101		
上		xiong	shang4	赣			258101		
下		ha	xia4	赣			120000		
不		bei	bu4	赣			360331		
与		yu	yu3	赣			160984		
丐		goi	gai4	赣			120000		
丑		ceu	chou3	赣			120000		
专		don	zhuan1	赣			30000		
专		jon	zhuan1	赣			120000		
且		qia	qie3	赣			120000		
且		qie	qie3	赣			30000		
丕		pi	pi1	赣			120000		
世		si	shi4	赣			120000		
丘		qiu	qiu1	赣			120000		
丙		bin	bing3	赣			120000		
业		nie	ye4	赣			120000		
丛		ceng	cong2	赣			120000		
东		deng	dong1	赣			120000		
丝		su	si1	赣			120000		
丞		cen	cheng2	赣			120000		
丢		diu	diu1	赣			30000		
两		liong	liang3	赣			30000		
两		yong	liang3	赣			120000		
严		nien	yan2	赣			120000		
丧		song	sang4	赣			120000		
个		go	ge4	赣			142747		
丫		nga	ya1	赣			120000		
中		jiung	zhong1	赣			243191		
丰		feng	feng1	赣			120000		
串		qon	chuan4	赣			120000		
临		lin	lin2	赣			120000		
丸		yon	wan2	赣			120000		
丹		dan	dan1	赣			120000		
为		wei	wei4	赣			295952		
主		jyu	zhu3	赣			120000		
丽		li	li4	赣			120000		
举		jyu	ju3	赣			120000		
乂		ngoi	yi4	赣			120000		
乃		lai	nai3	赣			120000		
久		jiu	jiu3	赣			120000		
么		me	me5	赣			120000		
义		ni	yi4	赣			120000		
之		zi	zhi1	赣			140957		
乌		wu	wu1	赣			120000		
乍		za	zha4	赣			120000		
乍		zang	zha4	赣			120000		
乎		fu	hu1	赣			120000		
乏		fa	fa2	赣			30000		
乐		lo	le4	赣			120000		
乐		nyue	le4	赣			30000		
乒		pin	ping1	赣			30000		
乓		pon	pang1	赣			30000		
乓		pong	pang1	赣			7500		
乔		qieu	qiao2	赣			120000		
乖		guai	guai1	赣			120000		
乘		cen	cheng2	赣			120000		
乙		yi	yi3	赣			120000		
乜		mie	mie1	赣			120000		
九		jiu	jiu3	赣			120000		
乞		qi	qi3	赣			120000		
也		ya	ye3	赣			307851		
习		xi	xi2	赣			120000		
乡		xiong	xiang1	赣			120000		
书		xyu	shu1	赣			120000		
买		mai	mai3	赣			120000		
乱		lon	luan4	赣			120000		
乳		lu	ru3	赣			120000		
乳		nyu	ru3	赣			30000		
乾		qien	qian2	赣			120000		
了		li	le5	赣			883634		
了		lieu	le5	赣			220908		
予		yu	yu3	赣			120000		
争		dang	zheng1	赣			120000		
争		zang	zheng1	赣			120000		
事		si	shi4	赣			30000		
事		su	shi4	赣			120000		
二		e	er4	赣			120000		
亍		qyu	chu4	赣			120000		
于		yu	yu2	赣			120000		
亏		kui	kui1	赣			120000		
云		yun	yun2	赣			120000		
互		fu	hu4	赣			120000		
五		ng	wu3	赣			120000		
井		jiang	jing3	赣			30000		
亘		xon	gen4	赣			120000		
亚		nga	ya4	赣			120000		
些		ji	xie1	赣			120000		
些		si	xie1	赣			30000		
亟		ji	ji2	赣			120000		
亡		wong	wang2	赣			120000		
亢		gong	kang4	赣			120000		
亢		kang	kang4	赣			24000		
交		gau	jiao1	赣			30000		
亥		hoi	hai4	赣			120000		
亦		yi	yi4	赣			120000		
产		can	chan3	赣			120000		
产		san	chan3	赣			120000		
亨		hen	heng1	赣			60000		
亩		meu	mu3	赣			30000		
享		xiong	xiang3	赣			30000		
京		jin	jing1	赣			34488		
亭		tin	ting2	赣			120000		
亮		liong	liang4	赣			120000		
亲		qiang	qin1	赣			120000		
亲		qin	qin1	赣			30000		
亳		bo	bo2	赣			120000		
亳		po	bo2	赣			24000		
亳		pu	bo2	赣			30000		
亵		sie	xie4	赣			30000		
亵		xie	xie4	赣			120000		
亶		dan	dan3	赣			30000		
亶		zan	dan3	赣			120000		
亸		do	duo3	赣			120000		
人		lin	ren2	赣			313209		
人		nin	ren2	赣			313209		
亿		yi	yi4	赣			120000		
什		sa	shen2	赣			30000		
什		xia	shen2	赣			120000		
仁		lin	ren2	赣			30000		
仁		nin	ren2	赣			120000		
仂		le	le4	赣			120000		
仂		li	le4	赣			30000		
仃		diang	ding1	赣			120000		
仄		ze	ze4	赣			120000		
仅		jin	jin3	赣			120000		
仆		pu	pu1	赣			120000		
仇		ceu	chou2	赣			120000		
仉		jiong	zhang3	赣			120000		
今		jia	jin1	赣			60000		
今		jin	jin1	赣			30000		
介		gai	jie4	赣			30000		
仍		len	reng2	赣			120000		
从		qiung	cong2	赣			120000		
仑		len	lun2	赣			120000		
仓		cong	cang1	赣			120000		
仔		ji	zai3	赣			24000		
仔		zai	zai3	赣			120000		
仔		zi	zai3	赣			30000		
仕		si	shi4	赣			120000		
他		gie	ta1	赣			401339		
他		ta	ta1	赣			401339		
仗		dong	zhang4	赣			30000		
仗		jiong	zhang4	赣			120000		
付		fu	fu4	赣			120000		
仙		xien	xian1	赣			120000		
仞		len	ren4	赣			120000		
仞		lin	ren4	赣			30000		
仟		qien	qian1	赣			120000		
仡		go	ge1	赣			24000		
仡		qi	ge1	赣			120000		
仡		yi	ge1	赣			30000		
代		toi	dai4	赣			120000		
令		liang	ling4	赣			30000		
令		lin	ling4	赣			120000		
以		yi	yi3	赣			136106		
仪		ni	yi2	赣			30000		
仪		yi	yi2	赣			120000		
们		men	men5	赣			98740		
仰		yong	yang3	赣			120000		
仲		jiung	zhong4	赣			120000		
仳		bi	pi3	赣			120000		
仳		feu	pi3	赣			24000		
仳		pi	pi3	赣			30000		
仵		ng	wu3	赣			120000		
仵		wu	wu3	赣			30000		
件		qien	jian4	赣			120000		
价		ga	jia4	赣			30000		
任		len	ren4	赣			30000		
任		lin	ren4	赣			120000		
份		fen	fen4	赣			120000		
仿		fong	fang3	赣			120000		
企		qi	qi3	赣			120000		
伉		kang	kang4	赣			30000		
伉		kong	kang4	赣			120000		
伊		yi	yi1	赣			120000		
伋		gie	ji2	赣			7500		
伋		ji	ji2	赣			30000		
伍		ng	wu3	赣			30000		
伎		ji	ji4	赣			120000		
伏		fu	fu2	赣			120000		
伐		fai	fa2	赣			120000		
休		xiu	xiu1	赣			120000		
众		qiung	zhong4	赣			120000		
优		yiu	you1	赣			120000		
伙		fo	huo3	赣			120000		
会		fi	hui4	赣			120000		
会		wei	hui4	赣			30000		
伛		yu	yu3	赣			30000		
伞		san	san3	赣			120000		
伟		wei	wei3	赣			120000		
传		qon	chuan2	赣			120000		
传		ton	chuan2	赣			30000		
伤		song	shang1	赣			30000		
伤		xiong	shang1	赣			120000		
伥		qiong	chang1	赣			120000		
伦		len	lun2	赣			30000		
伧		cong	cang1	赣			120000		
伧		qien	cang1	赣			30000		
伪		wei	wei3	赣			30000		
伫		qyu	zhu4	赣			120000		
伯		ba	bo2	赣			30000		
伯		be	bo2	赣			120000		
估		gu	gu1	赣			30000		
伴		pon	ban4	赣			120000		
伶		lin	ling2	赣			30000		
伸		sen	shen1	赣			120000		
伸		xin	shen1	赣			30000		
伺		su	ci4	赣			120000		
似		si	shi4	赣			120000		
伽		ga	ga1	赣			120000		
伽		qyue	ga1	赣			30000		
伾		pi	pi1	赣			120000		
佃		xi	dian4	赣			120000		
但		tan	dan4	赣			120000		
位		wei	wei4	赣			120000		
低		di	di1	赣			120000		
住		qyu	zhu4	赣			120000		
佐		zo	zuo3	赣			120000		
佑		yiung	you4	赣			120000		
体		ti	ti3	赣			120000		
何		ho	he2	赣			120000		
佗		to	tuo2	赣			120000		
余		yu	yu2	赣			120000		
佚		yi	yi4	赣			120000		
佛		fo	fu2	赣			120000		
作		zo	zuo4	赣			120000		
佝		gieu	gou1	赣			120000		
佝		heu	gou1	赣			30000		
佞		nin	ning4	赣			120000		
佟		deng	tong2	赣			120000		
你		n	ni3	赣			58646		
你		ni	ni3	赣			234587		
佣		yiung	yong1	赣			120000		
佥		gan	qian1	赣			120000		
佥		lien	qian1	赣			24000		
佥		qien	qian1	赣			30000		
佩		pi	pei4	赣			120000		
佯		yong	yang2	赣			120000		
佰		me	bai3	赣			120000		
佳		ga	jia1	赣			30000		
佴		e	er4	赣			120000		
佴		lai	er4	赣			30000		
佴		len	er4	赣			24000		
佶		bi	ji2	赣			20000		
佶		ji	ji2	赣			30000		
佶		mi	ji2	赣			24000		
佶		qi	ji2	赣			120000		
佻		tieu	tiao1	赣			120000		
佼		kau	jiao3	赣			120000		
佾		yi	yi4	赣			120000		
