本词	国际音标	方言拼音	汉语拼音	词汇属性	对应官话词	官话拼音	词频	同义词	新旧标记
㦿子		kang zu	qian3 zi5	赣			60000		
一一		yi yi	yi1 yi1	赣			1670		
一一二		yi yi e	yi1 yi1 er4	赣			11		
一一分		yi yi fen	yi1 yi1 fen1	赣			8		
一一列举		yi yi lie jyu	yi1 yi1 lie4 ju3	赣			34		
一一对		yi yi dei	yi1 yi1 dui4	赣			9		
一一对应		yi yi dei yin	yi1 yi1 dui4 ying4	赣			43		
一丁		yi diang	yi1 ding1	赣			18		
一丁点儿		yi diang dien e	yi1 ding1 dian3 er5	赣			24		
一七		yi qi	yi1 qi1	赣			22		
一万		yi wan	yi1 wan4	赣			442		
一万三千		yi wan san qien	yi1 wan4 san1 qian1	赣			8		
一万两		yi wan yong	yi1 wan4 liang3	赣			124		
一万个		yi wan go	yi1 wan4 ge4	赣			62		
一万二		yi wan e	yi1 wan4 er4	赣			10		
一万二千		yi wan e qien	yi1 wan4 er4 qian1	赣			7		
一万五		yi wan ng	yi1 wan4 wu3	赣			6		
一万五千		yi wan ng qien	yi1 wan4 wu3 qian1	赣			45		
一万五千余		yi wan ng qien yu	yi1 wan4 wu3 qian1 yu2	赣			9		
一万余		yi wan yu	yi1 wan4 yu2	赣			41		
一万倍		yi wan pi	yi1 wan4 bei4	赣			14		
一万元		yi wan yon	yi1 wan4 yuan2	赣			61		
一万八千		yi wan ba qien	yi1 wan4 ba1 qian1	赣			7		
一万八千		yi wan bai qien	yi1 wan4 ba1 qian1	赣			7		
一万八千余		yi wan ba qien yu	yi1 wan4 ba1 qian1 yu2	赣			8		
一万八千余		yi wan bai qien yu	yi1 wan4 ba1 qian1 yu2	赣			8		
一万刀		yi wan dau	yi1 wan4 dao1	赣			7		
一万双		yi wan song	yi1 wan4 shuang1	赣			6		
一万句		yi wan jyu	yi1 wan4 ju4	赣			11		
一万只		yi wan zi	yi1 wan4 zhi3	赣			9		
一万名		yi wan miang	yi1 wan4 ming2	赣			16		
一万块		yi wan kuai	yi1 wan4 kuai4	赣			49		
一万多		yi wan do	yi1 wan4 duo1	赣			86		
一万多两		yi wan do yong	yi1 wan4 duo1 liang3	赣			9		
一万多个		yi wan do go	yi1 wan4 duo1 ge4	赣			10		
一万多元		yi wan do yon	yi1 wan4 duo1 yuan2	赣			10		
一万多名		yi wan do miang	yi1 wan4 duo1 ming2	赣			26		
一万多块		yi wan do kuai	yi1 wan4 duo1 kuai4	赣			6		
一万家		yi wan ga	yi1 wan4 jia1	赣			8		
一万年		yi wan nien	yi1 wan4 nian2	赣			39		
一万斤		yi wan jin	yi1 wan4 jin1	赣			9		
一万次		yi wan cu	yi1 wan4 ci4	赣			16		
一万步		yi wan pu	yi1 wan4 bu4	赣			30		
一万遍		yi wan pien	yi1 wan4 bian4	赣			9		
一丈		yi jiong	yi1 zhang4	赣			298		
一三		yi san	yi1 san1	赣			19		
一三五		yi san ng	yi1 san1 wu3	赣			6		
一上午		yi song wu	yi1 shang4 wu3	赣			53		
一上午		yi xiong wu	yi1 shang4 wu3	赣			53		
一下		yi ha	yi1 xia4	赣			60000		
一下一下		yi ha yi ha	yi1 xia4 yi1 xia4	赣			22		
一下下		yi ha ha	yi1 xia4 xia4	赣			37		
一下四周		yi ha su zeu	yi1 xia4 si4 zhou1	赣			6		
