本词	国际音标	方言拼音	汉语拼音	词汇属性	对应官话词	官话拼音	词频	同义词	新旧标记
不	mɔʔ6	mok6	bu4	官			122000		
他	tɕiɛ1	jie1	ta1	官			125989		
何	hɛi4	hei4	he2	官			126127		
八	bæt5	baet5	ba1	赣			120873		
别	mɔʔ6	mok6	bie2	官			123118		
刺	tsʰam2	cam2	ci4	官			127099		
剩	in4	yin4	sheng4	官			125079		
劈	tsoʔ5	zok5	pi1	官			127488		
压	tsaʔ5	zak5	ya1	官			122679		
受	tʰo2	to2	shou4	官			123362		
吃	tɕʰiaʔ5	qiak5	chi1	官			126939		
咬	ŋæt5	ngaet5	yao3	官			127851		
哪	hɛi4	hei4	na3	官			123670		
啃	ŋæt5	ngaet5	ken3	官			126674		
喝	tsʰuɛt5	cuet5	he1	官			125061		
地	kɛi1	gei1	di4	官			125842		
她	tɕiɛ1	jie1	ta1	官			125564		
它	tɕiɛ1	jie1	ta1	官			126387		
忌	tɕʰiɑŋ4	qiang4	ji4	官			127689		
扎	tsʰam2	cam2	zha1	官			125574		
打	tæp6	daep6	da3	官			126926		
扔	tiɑŋ4	diang4	reng1	官			127277		
扔	fɑŋ4	fang4	reng1	官			127277		
扔	liau4	liau4	reng1	官			127277		
抓	kʰa1	ka1	zhua1	官			126456		
抛	tiɑŋ4	diang4	pao1	官			127254		
抹	kʰai1	kai1	mo3	官			125748		
拉	uo1	wo1	la1	官			122915		
拉	iɛ3	yie3	la1	官			122915		
拖	iɛ3	yie3	tuo1	官			125004		
挠	tsiɛ1	zie1	nao2	官			123464		
挥	tiɑŋ4	diang4	hui1	官			124783		
挨	tʰo2	to2	ai1	官			124743		
捞	liɛn1	lien1	lao1	官			125338		
掐	kʰa1	ka1	qia1	官			125060		
推	tsʰuŋ3	cung3	tui1	官			124297		
插	tsʰæk5	caek5	cha1	赣			121214		
握	kʰa1	ka1	wo4	官			124811		
搔	tsiɛ1	zie1	sao1	官			126894		
擦	kʰai1	kai1	ca1	官			127396		
斜	tɕʰia4	qia4	xie2	官			123290		
晚	ŋan4	ngan4	wan3	官			123263		
望	moŋ4	mong4	wang4	赣			123681		
榨	tsaʔ5	zak5	zha4	官			126351		
欲	tɕʰiɛn4	qien4	yu4	官			124048		
歪	tɕʰia4	qia4	wai1	官			127144		
热	ȵiɛt6	niet6	re4	官			127942		
焯	sæp6	saep6	chao1	官			124682		
煠	sæp6	saep6	zha2	赣			120692		
爹	ia2	ya2	die1	官			126237		
的	kɛi1	gei1	de5	官			125471		
看	moŋ4	mong4	kan4	官			122794		
看	tsi1	zi1	kan4	官			122794		
睡	kʰuin4	kuin4	shui4	官			127575		
砸	tiɑŋ4	diang4	za2	官			125885		
舔	siɛ4	sie4	tian3	官			126992		
藏	tɕiɛ3	jie3	cang2	官			122266		
藏	kʰoŋ4	kong4	cang2	官			122266		
视	tsi1	zi1	shi4	官			122075		
贪	hɛu2	heu2	tan1	官			123984		
赶	pʰɑŋ1	pang1	gan3	官			126180		
踏	tsʰa2	ca2	ta4	官			122025		
踩	tsʰa2	ca2	cai3	官			124153		
踹	tsʰa2	ca2	chuai4	官			126267		
蹲	kʰu2	ku2	dun1	官			126899		
躺	kʰuin4	kuin4	tang3	官			124559		
这	kɛi1	gei1	zhe4	官			125562		
迟	ŋan4	ngan4	chi2	官			126099		
食	tɕʰiaʔ5	qiak5	shi2	官			125281		
饮	tsʰuɛt5	cuet5	yin3	官			126504		
饮	tɕʰiaʔ5	qiak5	yin3	官			126504		
馋	hɛu2	heu2	chan2	官			124433		
黑	lu1	lu1	hei1	官			124727		
