本词	国际音标	方言拼音	汉语拼音	词汇属性	对应官话词	官话拼音	词频	同义词	新旧标记
㔢	tɕyɵʔ5	jyuok5	jue2	赣			4743		
㔶	kon3	gon3	gong4	赣	覆盖/盖住	fu4 gai4/gai4 zhu4	127698		
㞘	tuʔ5	duk5	du1	赣			10001		
㦜	foʔ5	fok5	huo4	赣	惊恐/惊慌/着急	jing1 kong3/jing1 huang1/zhao2 ji2	124290		
㦿	kʰam3	kam3	qian3	赣	窗户	chuang1 hu4	122122		
㦿	kʰan3	kan3	qian3	赣	窗户	chuang1 hu4	122122		
㧐	tsʰuŋ3	cung3	song3	赣			100000		
㧦	fɑŋ4	fang4	xuan4	赣	挥甩/扔	hui1 shuai3/reng1	125494		
㨘	sɑŋ4	sang4	xing3	赣	捏住鼻子，用气排出鼻涕	nie1 zhu4 bi2 zi5 ， yong4 qi4 pai2 chu1 bi2 ti4	127010		
㩃	tɕʰiɛn2	qien2	qian1	赣	拔取/采摘	ba2 qu3/cai3 zhai1	123334		
㩉	tæp6	daep6	da2	赣	拍打/打	pai1 da3/da3	125498		
㪗	tʰəu3	teu3	tou3	赣	展开/伸展	zhan3 kai1/shen1 zhan3	122825		
䅴	saʔ5	sak5	suo3	赣			126997		
䞀	hɛu2	heu2	hou4	赣	贪/馋	tan1/chan2	126891		
䟕	tsʰa2	ca2	cha4	赣	踩/踏/踹	cai3/ta4/chuai4	122094		
一	it5	yit5	yi1	赣			467830		
丁	tən1	den1	ding1	赣			140000		
丁	tiaŋ1	diang1	ding1	赣			140000		
七	tɕʰit5	qit5	qi1	赣			280000		
万	uan1	wan1	wan4	赣			220000		
丈	tsʰoŋ1	cong1	zhang4	赣			120000		
三	sam1	sam1	san1	赣			370000		
三	san1	san1	san1	赣			370000		
上	soŋ1	song1	shang4	赣			508101		
上	soŋ4	song4	shang4	赣			508101		
下	ha4	ha4	xia4	赣			370000		
下	xa1	xa1	xia4	赣			370000		
下	xa4	xa4	xia4	赣			370000		
不	pɨʔ5	bek5	bu4	赣			610331		
不	pit6	bit6	bu4	赣			610331		
与	ȵi2	ni2	yu3	赣			395033		
与	y2	yu2	yu3	赣			395033		
丑	tsʰəu3	ceu3	chou3	赣			130000		
