本词	国际音标	方言拼音	汉语拼音	词汇属性	对应官话词	官话拼音	词频	同义词	新旧标记
㔶到菜	kon3 tɑu4 tsʰɛi4	gon3 dau4 cei4	gong4 dao4 cai4	赣	盖住菜	gai4 zhu4 cai4	122492		
㔶好	kon3 hɑu3	gon3 hau3	gong4 hao3	赣	盖好	gai4 hao3	126592		
㦿子	kʰan3 tsi3	kan3 zi3	qian3 zi5	赣	窗户	chuang1 hu4	125628		
㩃毛	tɕʰiɛn2 mɑu2	qien2 mau2	qian1 mao2	赣	拔毛发	ba2 mao2 fa4	126709		
㪗开	tʰəu3 kʰɛi1	teu3 kei1	tou3 kai1	赣	展开	zhan3 kai1	122159		
㪗被袱	tʰəu3 pʰi4 fuʔ6	teu3 pi4 fuk6	tou3 bei4 fu2	赣	展开被子	zhan3 kai1 bei4 zi5	125044		
䟕泥巴	tsʰa2 ȵi2 pa1	ca2 ni2 ba1	cha4 ni2 ba1	赣	踩泥巴	cai3 ni2 ba1	122447		
䟕渠一脚	tsʰa2 tɕiɛ1 it5 tɕiɔʔ5	ca2 jie1 yit5 jiok5	cha4 qu2 yi1 jiao3	赣	踹他一脚	chuai4 ta1 yi1 jiao3	123982		
个件衣裳	kɛi1 tɕʰiɛn4 i1 soŋ2	gei1 qien4 yi1 song2	ge4 jian4 yi1 shang5	赣	这件衣服	zhe4 jian4 yi1 fu2	125706		
儆口	tɕʰiaŋ4 kʰiɛu3	qiang4 kieu3	jing3 kou3	赣	忌口	ji4 kou3	125046		
关㦿子	kuan1 kʰan3 tsi3	guan1 kan3 zi3	guan1 qian3 zi5	赣	关窗户	guan1 chuang1 hu4	124708		
劖到手	tsʰam2 tɑu4 səu3	cam2 dau4 seu3	chan2 dao4 shou3	赣	扎到手	zha1 dao4 shou3	124980		
劖破	tsʰam2 pʰo4	cam2 po4	chan2 po4	赣	扎破	zha1 po4	127048		
去喡下渠	tɕʰiɛ4 uiɛ1 xa1 tɕiɛ1	qie4 wie1 xa1 jie1	qu4 wei2 xia4 qu2	赣	去喊下他	qu4 han3 xia4 ta1	123030		
厾指头	tu1 tsi3 tʰɛu2	du1 zi3 teu2	du1 zhi3 tou5	赣	轻点手指	qing1 dian3 shou3 zhi3	122523		
吃酒	tɕʰiaʔ5 tɕiəu3	qiak5 jieu3	chi1 jiu3	赣	饮酒	yin3 jiu3	123363		
吃饭	tɕʰiaʔ5 fan1	qiak5 fan1	chi1 fan4	赣	吃饭	chi1 fan4	122252		
啜口水	tsʰuɛt5 kʰiɛu3 sy3	cuet5 kieu3 syu3	chuai4 kou3 shui3	赣	喝口水	he1 kou3 shui3	122222		
啜粥	tsʰuɛt5 tsuʔ5	cuet5 zuk5	chuai4 zhou1	赣	喝粥	he1 zhou1	125158		
啜茶	tsʰuɛt5 tsʰa2	cuet5 ca2	chuai4 cha2	赣	饮茶	yin3 cha2	126689		
啮人	ŋæt5 ȵin2	ngaet5 nin2	nie4 ren2	赣	咬人	yao3 ren2	125964		
啮破	ŋæt5 pʰo4	ngaet5 po4	nie4 po4	赣	咬破	yao3 po4	123379		
啮紧	ŋæt5 tɕin3	ngaet5 jin3	nie4 jin3	赣	咬紧	yao3 jin3	127047		
喡人	uiɛ1 ȵin2	wie1 nin2	wei2 ren2	赣	呼喊人	hu1 han3 ren2	127873		
噙糖子	tɕin1 tʰoŋ2 tsi3	jin1 tong2 zi3	qin2 tang2 zi5	赣	吸吮糖果	xi1 shun3 tang2 guo3	125328		
囥到	kʰoŋ4 tɑu4	kong4 dau4	kang4 dao4	赣	藏着	cang2 zhe5	122961		
囥好	kʰoŋ4 hɑu3	kong4 hau3	kang4 hao3	赣	藏好	cang2 hao3	124874		
囥起来	kʰoŋ4 tɕʰi3 lɛi2	kong4 qi3 lei2	kang4 qi3 lai2	赣	藏起来	cang2 qi3 lai2	125493		
