本词	国际音标	方言拼音	汉语拼音	词汇属性	对应官话词	官话拼音	词频	同义词	新旧标记
东张西望	tsi1 tsi1 moŋ4 moŋ4	zi1 zi1 mong4 mong4	dong1 zhang1 xi1 wang4	官			123840		
他们	tɕiɛ1 tɛn3	jie1 den3	ta1 men5	官			127744		
他的	tɕiɛ1 kɛi1	jie1 gei1	ta1 de5	官			125651		
他的	tɕiɛ1 ko4	jie1 go4	ta1 de5	官			125651		
关窗户	kuan1 kʰan3 tsi3	guan1 kan3 zi3	guan1 chuang1 hu4	官			123807		
击一拳	mɑŋ1 it5 tɕʰyon2	mang1 yit5 qyuon2	ji1 yi1 quan2	官			125426		
别剩	mɔʔ6 in4	mok6 yin4	bie2 sheng4	官			125101		
别动	mɔʔ6 tʰuŋ4	mok6 tung4	bie2 dong4	官			124580		
别怕	mɔʔ6 foʔ5	mok6 fok5	bie2 pa4	官			123785		
别急	mɔʔ6 foʔ5	mok6 fok5	bie2 ji2	官			125263		
别愁	mɔʔ6 tsʰɛu2	mok6 ceu2	bie2 chou2	官			122049		
别慌	mɔʔ6 foʔ5	mok6 fok5	bie2 huang1	官			126195		
别牵挂	mɔʔ6 tɕʰiɛn4 tɑu4	mok6 qien4 dau4	bie2 qian1 gua4	官			126539		
别说	mɔʔ6 fa1	mok6 fa1	bie2 shuo1	官			122059		
别贪	mɔʔ6 hɛu2	mok6 heu2	bie2 tan1	官			126960		
别蹲着	mɔʔ6 kʰu2 tɑu4	mok6 ku2 dau4	bie2 dun1 zhe5	官			126379		
剩多少	in4 tɕi3 to1	yin4 ji3 do1	sheng4 duo1 shao3	官			124651		
剩菜	in4 tsʰɛi4	yin4 cei4	sheng4 cai4	官			122257		
劈肉	tsoʔ5 ȵiuʔ5	zok5 niuk5	pi1 rou4	官			124746		
南瓜	fɑŋ1 kua1	fang1 gua1	nan2 gua1	官			126822		
压岁钱	tsaʔ5 ɕi4 tɕʰiɛn2	zak5 xi4 qien2	ya1 sui4 qian2	官			123900		
压着	tsaʔ5 tɑu4	zak5 dau4	ya1 zhe5	官			127517		
去喊下他	tɕʰiɛ4 uiɛ1 xa1 tɕiɛ1	qie4 wie1 ha1 jie1	qu4 han3 xia4 ta1	官			124997		
吃饭	tɕʰiaʔ5 fan1	qiak5 fan1	chi1 fan4	官			126884		
吸吮糖果	tɕin1 tʰoŋ2 tsi3	jin1 tong2 zi3	xi1 shun3 tang2 guo3	官			127785		
呼喊人	uiɛ1 ȵin2	wie1 nin2	hu1 han3 ren2	官			127221		
