本词	国际音标	方言拼音	汉语拼音	词汇属性	对应官话词	官话拼音	词频	同义词	新旧标记
一	it7	yit6	yi1	赣			467830		
七	tɕʰit7	qit6	qi1	赣			280000		
丈	tsʰɔŋ6	cong5	zhang4	赣			120000		
三	san1	san1	san1	赣			370000		
上	sɔŋ6	song5	shang4	赣			508101		
不	pet7	bet6	bu4	赣			610331		
与	y3	yu3	yu3	赣			395033		
丐	kai5	gai4	gai4	赣			120000		
丑	tsʰɛu3	ceu3	chou3	赣			130000		本1
专	tson1	zon1	zhuan1	赣			170000		
且	tɕʰia3	qia3	qie3	赣			370000		老1
丕	pʰi1	pi1	pi1	赣			120000		
世	ɕi5	xi4	shi4	赣			120000		又1
丘	tɕʰiu1	qiu1	qiu1	赣			145000		
丙	pin3	bin3	bing3	赣			224999		
丛	tsʰuŋ2	cung2	cong2	赣			270000		
东	tuŋ1	dung1	dong1	赣			260000		
丝	sɿ1	si1	si1	赣			120000		
丞	tsʰɨn2	cen2	cheng2	赣			125000		
丢	tiu1	diu1	diu1	赣			130000		
两	liɔŋ3	liong3	liang3	赣			370000		
严	ȵien5	nien4	yan2	赣			170000		老1
丧	sɔŋ1	song1	sang4	赣			125000		
丫	ŋa1	nga1	ya1	赣			120000		
中	tsuŋ1	zung1	zhong1	赣			493191		
中	tsuŋ5	zung4	zhong1	赣			493191		
丰	fuŋ1	fung1	feng1	赣			120000		
串	kuon5	guon4	chuan4	赣			260000		老1
临	lin5	lin4	lin2	赣			120000		
丹	tan1	dan1	dan1	赣			120000		
为	ui6	wui5	wei4	赣			545952		
为	ui5	wui4	wei4	赣			545952		
主	tsu3	zu3	zhu3	赣			385602		新1
丽	li6	li5	li4	赣			120000		
举	tɕy3	jyu3	ju3	赣			155000		
乂	ȵi6	ni5	yi4	赣			106939		
乃	lai3	lai3	nai3	赣			120000		
久	tɕiu3	jiu3	jiu3	赣			260000		
义	ȵi6	ni5	yi4	赣			195000		老1
之	tsɿ1	zi1	zhi1	赣			390957		
乌	u1	wu1	wu1	赣			145000		
乍	tsa5	za4	zha4	赣			120000		
乎	fu5	fu4	hu1	赣			195000		
乏	fat7	fat6	fa2	赣			127351		
乐	lɔʔ7	lok6	le4	赣			180000		
乒	pʰin1	pin1	ping1	赣			109404		
乓	pʰɔŋ1	pong1	pang1	赣			107515		
乔	tɕʰiɛu2	qieu2	qiao2	赣			120000		
乘	sɨn5	sen4	cheng2	赣			175000		本1
乙	it7	yit6	yi3	赣			120000		
乜	mie1	mie1	mie1	赣			120000		
九	tɕiu3	jiu3	jiu3	赣			259999		
乞	tɕʰit7	qit6	qi3	赣			120000		
也	ia3	ya3	ye3	赣			557851		
习	ɕit7	xit6	xi2	赣			170000		
乡	ɕiɔŋ1	xiong1	xiang1	赣			120000		
买	mai3	mai3	mai3	赣			275000		
乱	lon6	lon5	luan4	赣			370000		
乳	ɵ3	o3	ru3	赣			125000		本1
了	liɛu3	lieu3	le5	赣			470908		
予	y3	yu3	yu3	赣			104480		
事	sɿ6	si5	shi4	赣			225000		
二	ɵ6	o5	er4	赣			310000		
亍	tɕy5	jyu4	chu4	赣			101119		
亏	kʰui1	kui1	kui1	赣			125000		
云	yn5	yun4	yun2	赣			305000		
互	fu6	fu5	hu4	赣			125000		
五	ŋ̍3	ng3	wu3	赣			370000		
亘	kien5	gien4	gen4	赣			175149		
亚	ŋa3	nga3	ya4	赣			120000		
些	ɕiɛt7	xiet6	xie1	赣			370000		
亟	tɕʰi3	qi3	ji2	赣			108724		
