本词	国际音标	方言拼音	汉语拼音	词汇属性	对应官话词	官话拼音	词频	同义词	新旧标记
冰	pin1	bin1	bing1	赣			228788		
宾	pin1	bin1	bin1	赣			202982		
乾	tɕʰiɛn2	qien2	qian2	赣			120000		
肺	fɨi5	fei4	fei4	赣			120000		
脱	tʰot7	tot6	tuo1	赣	很/非常/极其	hen3/fei1 chang2/ji2 qi2	170000		
荤	fɨn1	fen1	hun1	赣			120000		
𬭚	sun5	sun4	chun2	赣			1920		
话	fa6	fa5	hua4	文			410000		
日	lɛt7	let6	ri4	文			370000		
作	tsɔʔ7	zok6	zuo4	赣			200000		
书	su1	su1	shu1	赣			350000		新1
成	saŋ5	sang4	cheng2	白			416686		
寻	tɕʰin2	qin2	xun2	白	找/寻找	zhao3/xun2 zhao3	326094		
值	tsɿʔ8	zik7	zhi2	赣			350000		新2
渠	tɕie3	jie3	qu2	赣	他	ta1	550000		
直	tsɿʔ8	zik7	zhi2	赣			190000		新2
出	tsʰuʔ7	cuk6	chu1	赣			395397		新1
祝	tsuʔ7	zuk6	zhu4	赣			120000		
经	tɕiaŋ1	jiang1	jing1	白			51289		
经	tɕin1	jin1	jing1	文			51289		
什	sɨt7	set6	shen2	文			380000		
什	ɕit7	xit6	shen2	白	啥	sha2	380000		
糇	hɛu2	heu2	hou2	赣	诱惑	you4 huo4	155000		
冇	mau6	mau5	mao3	赣			440656	没	
咁	kon1	gon1	gan4	赣			74513		
囥	kʰaŋ1	kang1	kang4	赣			90000	藏/隐藏	
逛	kʰuɔŋ6	kuong5	guang4	赣			69251		
冶	ia3	ya3	ye3	赣			14977		
剌	lat7	lat6	la2	赣			19888		
廓	kʰuɔʔ7	kuok6	kuo4	赣			14128		
啷	lɔŋ5	long4	lang1	赣			534377		本1
莝	tsʰo3	co3	cuo4	赣			11430	一段/一节/节/段	
誺	lai5	lai4	chi1	赣			25000		
涿	tɔʔ7	dok6	zhuo1	赣	淋	lin2	215364		
睖	len1	len1	leng4	赣			137565	瞪	
睃	tɕyn5	jyun4	suo1	赣			4828		
斢	tʰeu3	teu3	tiao3	赣			26000		
䞀	heu6	heu5	hou4	赣			19188		
豛		teng1	yi4	赣	撞	zhuang4	135660		
柞	tsɔʔ7	zok6	zha4	赣			5003		
搨	tat7	dat6	ta4	赣	掌掴	zhang3 gai1	121000	扇	
㲃	tɕiu5	jiu4	jiu4	赣	拧	ning3	122984		
㔶	kon3	gon3	gong4	赣			8856		
摒	pen5	ben4	bing3	赣			4331		
㦿	kʰan3	kan3	qian3	赣			8593		
滘	kau5	gau4	jiao4	赣			7600		
刑	ɕin5	xin4	xing2	赣			145000	欺负/折磨	
娘	ȵiɔŋ5	niong4	niang2	赣			255000	母亲/妈妈	
短	ton3	don3	duan3	赣			52500	短到/截	
吾	u5	wu4	wu2	赣			90000		
徛	tɕʰi6	qi5	ji4	赣			194560	站	
古	ku3	gu3	gu3	赣			166302		
长	tsʰɔŋ2	cong2	zhang3	赣			408489		
长	tsɔŋ3	zong3	zhang3	赣			356971		
言	ȵiɛn5	nien4	yan2	赣			55000		老1
语	ȵy3	nyu3	yu3	赣			410000		老1
量	liɔŋ5	liong4	liang4	赣			200000		
量	liɔŋ6	liong5	liang4	赣			200000		
强	tɕʰiɔŋ2	qiong2	qiang2	赣			165000		
强	tɕʰiɔŋ3	qiong3	qiang2	赣			165000		
强	tɕʰiɔŋ6	qiong5	qiang2	赣			165000		
还	fan5	fan4	hai2	赣			407058		又1
还	hat7	hat6	hai2	赣			407058		本2
宜	ȵi5	ni4	yi2	赣			225000		老1
宜	i0	yi0	yi2	赣			225000		
从	tsʰuŋ2	cung2	cong2	赣			370000		
乖	kuai1	guai1	guai1	赣			120000		
估	ku3	gu3	gu1	赣			30000		
光	kuɔŋ1	guong1	guang1	赣			234690		
广	kuɔŋ3	guong3	guang3	赣			30000		
治	tsʰɿ6	ci5	zhi4	赣			205000		老1
治	tsʰɿ2	ci2	zhi4	赣			205000		
剐	kua3	gua3	gua3	赣			30000		
卦	kua6	gua5	gua4	赣			30000		
固	ku5	gu4	gu4	赣			135620		
姑	ku1	gu1	gu1	赣			30000		
孤	ku1	gu1	gu1	赣			30000		
官	kuon1	guon1	guan1	赣			260000		
寡	kua3	gua3	gua3	赣			30000		
床	tsʰɔŋ2	cong2	chuang2	赣			135000		
归	kui1	gui1	gui1	赣			234000	回	
怪	kuai5	guai4	guai4	赣			110000		
惯	kuan5	guan4	guan4	赣			30000		
想	ɕiɔŋ3	xiong3	xiang3	赣			411904		
桂	kui5	gui4	gui4	赣			30000		
暎	iaŋ5	yang4	ying4	白			30000	看守	
个	ko5	go4	ge4	赣			392747		
尔	ɵ3	o3	er3	赣			70000		
尔	n̩3	n3	er3	赣			70000		
晏	ŋæn5	ngan4	yan4	赣			450000	晚/硌	
应	in1	yin1	ying1	赣			30000		
应	ŋien5	ngien4	ying1	白			30000		
应	in5	yin4	ying1	文			30000		
间	kan1	gan1	jian1	赣			180000		
间	kan5	gan4	jian1	赣			180000		
车	tsʰa1	ca1	che1	赣			30000		
船	son5	son4	chuan2	赣			30000		
船	tsʰon2	con2	chuan2	赣			30000		
甑	tsɛn5	zen4	zeng4	赣			30000		
屋	uʔ7	wuk6	wu1	赣			85000		
横	uaŋ5	wang4	heng2	白			180000		老1
閕	ŋa1	nga1	xia1	赣			80000	张/閕口	
着	tsoʔ7	zok6	zhe5	赣			438584	再着	
落	lɔʔ8	lok7	luo4	赣			190000		
扤	u3	wu3	wu4	赣			85000	搞/做/舞	
敦	tɨn5	den4	dun1	赣			30000		
撚	ȵiɛn3	nien3	nian3	赣			30000		
毃	kʰɔʔ7	kok6	qiao1	赣			30000		
衡	hɛn2	hen2	heng2	赣			30000		
把	pa3	ba3	ba3	赣			415002		
䁐	iaŋ5	yang4	ying1	赣			60000	看到/看护/看着/看守	
搊	tsʰɛu1	ceu1	chou1	赣			30000		
端	ton1	don1	duan1	赣			375780		
沕	mi6	mi5	mi4	赣			30000		
盈	in5	yin4	ying2	赣			30000		
假	ka3	ga3	jia3	赣			115000		
