本词	国际音标	方言拼音	汉语拼音	词汇属性	对应官话词	官话拼音	词频	同义词	新旧标记
礼拜天	li3 pai5 tʰiɛn1	li3 bai4 tien1	li3 bai4 tian1	赣			31		
女生	ȵy3 sɛn1	nyu3 sen1	nv3 sheng1	文			711		
男生	lan5 sɛn1	lan4 sen1	nan2 sheng1	文			433		
电话	tʰiɛn6 fa6	tien5 fa5	dian4 hua4	文			8354		
打电话	ta3 tʰiɛn6 fa6	da3 tien5 fa5	da3 dian4 hua4	文			1305		
电话机	tʰiɛn6 fa6 tɕi1	tien5 fa5 ji1	dian4 hua4 ji1	文			166		
长途电话	tsʰɔŋ2 tʰu2 tʰiɛn6 fa6	cong2 tu2 tien5 fa5	chang2 tu2 dian4 hua4	文			113		
电话铃	tʰiɛn6 fa6 liaŋ6	tien5 fa5 liang5	dian4 hua4 ling2	文			91		
电话会议	tʰiɛn6 fa6 fɨi6 i6	tien5 fa5 fei5 yi5	dian4 hua4 hui4 yi4	文			73		
电话线	tʰiɛn6 fa6 ɕiɛn5	tien5 fa5 xien4	dian4 hua4 xian4	文			50		
电话费	tʰiɛn6 fa6 fɨi5	tien5 fa5 fei4	dian4 hua4 fei4	文			41		
电话网	tʰiɛn6 fa6 uɔŋ3	tien5 fa5 wong3	dian4 hua4 wang3	文			36		
公用电话	kuŋ1 iuŋ6 tʰiɛn6 fa6	gung1 yung5 tien5 fa5	gong1 yong4 dian4 hua4	文			34		
通电话	tʰuŋ1 tʰiɛn6 fa6	tung1 tien5 fa5	tong1 dian4 hua4	文			33		
可视电话	kʰo3 sɿ6 tʰiɛn6 fa6	ko3 si5 tien5 fa5	ke3 shi4 dian4 hua4	文			31		
电话卡	tʰiɛn6 fa6 kʰa3	tien5 fa5 ka3	dian4 hua4 ka3	文			29		
电视电话	tʰiɛn6 sɿ6 tʰiɛn6 fa6	tien5 si5 tien5 fa5	dian4 shi4 dian4 hua4	文			28		
电话亭	tʰiɛn6 fa6 tʰin2	tien5 fa5 tin2	dian4 hua4 ting2	文			27		
电话局	tʰiɛn6 fa6 tɕʰyt7	tien5 fa5 qyut6	dian4 hua4 ju2	文			23		
电话会	tʰiɛn6 fa6 fɨi6	tien5 fa5 fei5	dian4 hua4 hui4	文			22		
电话响	tʰiɛn6 fa6 ɕiɔŋ3	tien5 fa5 xiong3	dian4 hua4 xiang3	文			21		
程控电话	tɕʰin2 kʰuŋ3 tʰiɛn6 fa6	qin2 kung3 tien5 fa5	cheng2 kong4 dian4 hua4	文			18		
电话号码	tʰiɛn6 fa6 hau6 ma3	tien5 fa5 hau5 ma3	dian4 hua4 hao4 ma3	文			17		
美国电话电报公司	mi3 kuɛt7 tʰiɛn6 fa6 tʰiɛn6 pau5 kuŋ1 sɿ1	mi3 guet6 tien5 fa5 tien5 bau4 gung1 si1	mei3 guo2 dian4 hua4 dian4 bao4 gong1 si1	文			15		
公用电话亭	kuŋ1 iuŋ6 tʰiɛn6 fa6 tʰin2	gung1 yung5 tien5 fa5 tin2	gong1 yong4 dian4 hua4 ting2	文			14		
无绳电话机	u5 sɨn5 tʰiɛn6 fa6 tɕi1	wu4 sen4 tien5 fa5 ji1	wu2 sheng2 dian4 hua4 ji1	文			12		
电话员	tʰiɛn6 fa6 yon5	tien5 fa5 yuon4	dian4 hua4 yuan2	文			11		
电视电话会议	tʰiɛn6 sɿ6 tʰiɛn6 fa6 fɨi6 i6	tien5 si5 tien5 fa5 fei5 yi5	dian4 shi4 dian4 hua4 hui4 yi4	文			10		
电话本	tʰiɛn6 fa6 pɨn3	tien5 fa5 ben3	dian4 hua4 ben3	文			10		
无线电话	u5 ɕiɛn5 tʰiɛn6 fa6	wu4 xien4 tien5 fa5	wu2 xian4 dian4 hua4	文			9		
电话公司	tʰiɛn6 fa6 kuŋ1 sɿ1	tien5 fa5 gung1 si1	dian4 hua4 gong1 si1	文			9		
接电话	tɕiɛt7 tʰiɛn6 fa6	jiet6 tien5 fa5	jie1 dian4 hua4	文			8		
电话簿	tʰiɛn6 fa6 pʰu6	tien5 fa5 pu5	dian4 hua4 bu4	文			8		
日食	lɛt7 sɿʔ7	let6 sik6	ri4 shi2	文			110		
决定	tɕyot7 tʰin6	jyuot6 tin5	jue2 ding4	文			32770		
一定	it7 tʰin6	yit6 tin5	yi2 ding4	文			275293		
规定	kui1 tʰin6	gui1 tin5	gui1 ding4	文			74568		
制定	tsɿ5 tʰin6	zi4 tin5	zhi4 ding4	文			53662		
稳定	uen3 tʰin6	wun3 tin5	wen3 ding4	文			138439		
确定	kʰɔʔ7 tʰin6	kok6 tin5	que4 ding4	文			256779		
肯定	kʰiɛn3 tʰiaŋ6	kien3 tiang5	ken3 ding4	白			236227		
固定	ku5 tʰin6	gu4 tin5	gu4 ding4	文			143844		
协定	ɕiɛt7 tʰin6	xiet6 tin5	xie2 ding4	文			2687		
特定	tʰet7 tʰin6	tet6 tin5	te4 ding4	赣			232066		
说不定	sot7 pet7 tʰin6	sot6 bet6 tin5	shuo1 bu4 ding4	文			1914		
定义	tʰin6 ȵi6	tin5 ni5	ding4 yi4	文			251823		
奠定	tʰiɛn6 tʰin6	tien5 tin5	dian4 ding4	文			1804		
测定	tsʰɛt7 tʰin6	cet6 tin5	ce4 ding4	文			26768		
必定	pit7 tʰin6	bit6 tin5	bi4 ding4	文			26706		
指定	tsɿ3 tʰin6	zi3 tin5	zhi3 ding4	文			231699		
定位	tʰin6 ui6	tin5 wui5	ding4 wei4	文			56650		
否定	fɛu3 tʰin6	feu3 tin5	fou3 ding4	文			6459		
定律	tʰin6 lit7	tin5 lit6	ding4 lv4	文			56417		
定期	tʰin6 tɕʰi2	tin5 qi2	ding4 qi1	文			1389		
假定	ka3 tʰin6	ga3 tin5	jia3 ding4	文			1376		
法定	fat7 tʰin6	fat6 tin5	fa3 ding4	文			1305		
安定	ŋon1 tʰin6	ngon1 tin5	an1 ding4	文			1278		
坚定	tɕiɛn1 tʰin6	jien1 tin5	jian1 ding4	文			1241		
鉴定	kan5 tʰin6	gan4 tin5	jian4 ding4	文			21226		
固定资产	ku5 tʰin6 tsɿ1 tsʰan3	gu4 tin5 zi1 can3	gu4 ding4 zi1 chan3	文			1148		
预定	y6 tʰin6	yu5 tin5	yu4 ding4	文			1093		
定为	tʰin6 ui6	tin5 wui5	ding4 wei4	文			1060		
定向	tʰin6 ɕiɔŋ5	tin5 xiong4	ding4 xiang4	文			50860		
