本词	国际音标	方言拼音	汉语拼音	词汇属性	对应官话词	官话拼音	词频	同义词	新旧标记
分宜	fɨn1 ȵi5	fen1 ni4	fen1 yi2	赣			390000		
分宜话	fɨn1 ȵi5 ua6	fen1 ni4 wa5	fen1 yi2 hua4	赣			185000		
赣语	kon5 ȵy3	gon4 nyu3	gan4 yu3	赣			410000		
一个	it7 ko5	yit6 go4	yi2 ge4	赣			392747		
中国	tsuŋ1 kuɛt7	zung1 guet6	zhong1 guo2	赣			379470		
赣语通用输入法	kon5 ȵy3 tʰuŋ1 iuŋ6 su1 luʔ7 fat7	gon4 nyu3 tung1 yung5 su1 luk6 fat6	gan4 yu3 tong1 yong4 shu1 ru4 fa3	赣			120000		
赣语通讯社	kon5 ȵy3 tʰuŋ1 ɕin5 sa6	gon4 nyu3 tung1 xin4 sa5	gan4 yu3 tong1 xun4 she4	赣			100000		
我们	ŋo3 mɨn5	ngo3 men4	wo3 men5	赣	咱们	zan2 men5	348740		
他们	tʰa1 mɨn5	ta1 men4	ta1 men5	赣			323969		
自己	tsʰɿ6 tɕi3	ci5 ji3	zi4 ji3	官			340933		
没有	mɨt7 iu3	met6 yiu3	mei2 you3	官			337597		
国家	kuɛt7 ka1	guet6 ga1	guo2 jia1	赣			289520		
可以	kʰo3 i3	ko3 yi3	ke3 yi3	赣			320958		
发展	fat7 tsɛn3	fat6 zen3	fa1 zhan3	赣			218664		
工作	kuŋ1 tsɔʔ7	gung1 zok6	gong1 zuo4	赣			296367		
这个	tsa3 ko5	za3 go4	zhe4 ge5	官			311310		
什么	sɨt7 iɛu1	set6 yeu1	shen2 me5	官			309317		
主要	tsu3 iɛu1	zu3 yeu1	zhu3 yao4	赣			307991		
问题	uen6 tʰi2	wun5 ti2	wen4 ti2	赣			305563		
进行	tɕin5 ɕin5	jin4 xin4	jin4 xing2	赣			304355		
地方	tʰi6 fɔŋ1	ti5 fong1	di4 fang1	赣			302641		
已经	i3 tɕin1	yi3 jin1	yi3 jing1	赣			301289		
这样	tsa3 iɔŋ6	za3 yong5	zhe4 yang4	官			298926		
全国	tɕʰyon2 kuɛt7	qyuon2 guet6	quan2 guo2	赣			98874		
经济	tɕin1 tɕi5	jin1 ji4	jing1 ji4	赣			298718		
这些	tsa3 ɕiɛt7	za3 xiet6	zhe4 xie1	官			297400		
不是	pet7 sɿ6	bet6 si5	bu2 shi4	赣			296856		
公司	kuŋ1 sɿ1	gung1 si1	gong1 si1	赣			270604		
社会	sa6 fɨi6	sa5 fei5	she4 hui4	赣			293401		
知道	tsɿ1 tʰau6	zi1 tau5	zhi1 dao4	官			292780		
这种	tsa3 tsuŋ3	za3 zung3	zhe4 zhong3	官			290923		
起来	tɕʰi3 lei5	qi3 lei4	qi3 lai2	赣			219788		
地区	tʰi6 tɕʰy1	ti5 qyu1	di4 qu1	赣			289590		
如果	lu5 kuo3	lu4 guo3	ru2 guo3	赣			288374		
开始	kʰai1 sɿ3	kai1 si3	kai1 shi3	赣			288139		
技术	tɕʰi6 suət7	qi5 suet6	ji4 shu4	赣			287664		
重要	tsʰuŋ2 iɛu1	cung2 yeu1	zhong4 yao4	赣			102557		
美国	mi3 kuɛt7	mi3 guet6	mei3 guo2	赣			66089		
因为	in1 ui6	yin1 wui5	yin1 wei4	赣			285698		
通过	tʰuŋ1 kuo5	tung1 guo4	tong1 guo4	赣			285063		
研究	ȵiɛn3 tɕiu5	nien3 jiu4	yan2 jiu1	赣			285029		
文化	uen5 ɸᴀ5	wun4 fa4	wen2 hua4	赣			219860		
企业	tɕʰi3 ȵiɛt7	qi3 niet6	qi3 ye4	赣			84826		
北京	pɛt7 tɕin1	bet6 jin1	bei3 jing1	赣			209488		
历史	lit7 sɿ3	lit6 si3	li4 shi3	赣			284460		
世界	ɕi5 kai5	xi4 gai4	shi4 jie4	赣			284387		
其中	tɕʰi2 tsuŋ1	qi2 zung1	qi2 zhong1	赣			284173		
现在	ɕiɛn6 tsʰai6	xien5 cai5	xian4 zai4	赣			284145		
天安门	tʰiɛn1 ŋon1 mɨn5	tien1 ngon1 men4	tian1 an1 men2	赣			84010		
不能	pet7 lɛn5	bet6 len4	bu4 neng2	赣			283939		
一些	it7 ɕiɛt7	yit6 xiet6	yi1 xie1	赣			283468		
生产	sɛn1 tsʰan3	sen1 can3	sheng1 chan3	赣			32898		
情况	tɕʰin2 kʰuoŋ3	qin2 kuong3	qing2 kuang4	赣			282833		
代表	tʰai6 piɛu3	tai5 bieu3	dai4 biao3	赣			32777		
湖北	fu5 pɛt7	fu4 bet6	hu2 bei3	赣			32652		
关系	kuan1 ɕi6	guan1 xi5	guan1 xi4	赣			282105		
